Disease,Symptom
(vertigo) paroymsal  positional vertigo,headache
(vertigo) paroymsal  positional vertigo,loss of balance
(vertigo) paroymsal  positional vertigo,nausea
(vertigo) paroymsal  positional vertigo,spinning movements
(vertigo) paroymsal  positional vertigo,unsteadiness
(vertigo) paroymsal  positional vertigo,vomiting
aids,extra marital contacts
aids,high fever
aids,muscle wasting
aids,patches in throat
acne,blackheads
acne,pus filled pimples
acne,scurring
acne,skin rash
alcoholic hepatitis,abdominal pain
alcoholic hepatitis,distention of abdomen
alcoholic hepatitis,fluid overload
alcoholic hepatitis,history of alcohol consumption
alcoholic hepatitis,swelling of stomach
alcoholic hepatitis,vomiting
alcoholic hepatitis,yellowish skin
allergy,chills
allergy,continuous sneezing
allergy,shivering
allergy,watering from eyes
arthritis,decreased range of motion
arthritis,joint pain
arthritis,movement stiffness
arthritis,muscle weakness
arthritis,painful walking
arthritis,redness
arthritis,stiff neck
arthritis,stiffness
arthritis,swelling
arthritis,swelling joints
bronchial asthma,breathlessness
bronchial asthma,cough
bronchial asthma,family history
bronchial asthma,fatigue
bronchial asthma,high fever
bronchial asthma,mucoid sputum
cervical spondylosis,back pain
cervical spondylosis,dizziness
cervical spondylosis,loss of balance
cervical spondylosis,neck pain
cervical spondylosis,weakness in limbs
chicken pox,fatigue
chicken pox,headache
chicken pox,high fever
chicken pox,itching
chicken pox,lethargy
chicken pox,loss of appetite
chicken pox,malaise
chicken pox,mild fever
chicken pox,red spots over body
chicken pox,skin rash
chicken pox,swelled lymph nodes
chronic cholestasis,abdominal pain
chronic cholestasis,itching
chronic cholestasis,loss of appetite
chronic cholestasis,nausea
chronic cholestasis,vomiting
chronic cholestasis,yellowing of eyes
chronic cholestasis,yellowish skin
common cold,chest pain
common cold,chills
common cold,congestion
common cold,continuous sneezing
common cold,cough
common cold,fatigue
common cold,generally feeling unwell
common cold,headache
common cold,high fever
common cold,loss of smell
common cold,low-grade fever
common cold,malaise
common cold,muscle pain
common cold,phlegm
common cold,redness of eyes
common cold,runny nose
common cold,sinus pressure
common cold,slight body aches
common cold,sneezing
common cold,sore throat
common cold,swelled lymph nodes
common cold,throat irritation
dengue,back pain
dengue,chills
dengue,fatigue
dengue,headache
dengue,high fever
dengue,joint pain
dengue,loss of appetite
dengue,malaise
dengue,muscle pain
dengue,nausea
dengue,pain behind the eyes
dengue,red spots over body
dengue,skin rash
dengue,vomiting
diabetes,blurred and distorted vision
diabetes,excessive hunger
diabetes,fatigue
diabetes,increased appetite
diabetes,irregular sugar level
diabetes,lethargy
diabetes,obesity
diabetes,polyuria
diabetes,restlessness
diabetes,weight loss
dimorphic hemmorhoids(piles),bloody stool
dimorphic hemmorhoids(piles),constipation
dimorphic hemmorhoids(piles),irritation in anus
dimorphic hemmorhoids(piles),pain during bowel movements
dimorphic hemmorhoids(piles),pain in anal region
drug reaction,burning micturition
drug reaction,itching
