Disease,Combined_Symptoms
(vertigo) Paroymsal  Positional Vertigo,"headache, loss of balance, nausea, spinning movements, unsteadiness, vomiting"
AIDS,"extra marital contacts, high fever, muscle wasting, patches in throat"
Acne,"blackheads, pus filled pimples, scurring, skin rash"
Alcoholic hepatitis,"abdominal pain, distention of abdomen, fluid overload, history of alcohol consumption, swelling of stomach, vomiting, yellowish skin"
Allergy,"chills, continuous sneezing, shivering, watering from eyes"
Arthritis,"decreased range of motion, joint pain, movement stiffness, muscle weakness, painful walking, redness, stiff neck, stiffness, swelling, swelling joints"
Bronchial Asthma,"breathlessness, cough, family history, fatigue, high fever, mucoid sputum"
Cervical spondylosis,"back pain, dizziness, loss of balance, neck pain, weakness in limbs"
Chicken pox,"fatigue, headache, high fever, itching, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash, swelled lymph nodes"
Chronic cholestasis,"abdominal pain, itching, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin"
Common Cold,"chest pain, chills, congestion, continuous sneezing, cough, fatigue, generally feeling unwell, headache, high fever, loss of smell, low-grade fever, malaise, muscle pain, phlegm, redness of eyes, runny nose, sinus pressure, slight body aches, sneezing, sore throat, swelled lymph nodes, throat irritation"
Dengue,"back pain, chills, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash, vomiting"
Diabetes ,"blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, obesity, polyuria, restlessness, weight loss"
Dimorphic hemmorhoids(piles),"bloody stool, constipation, irritation in anus, pain during bowel movements, pain in anal region"
Drug Reaction,"burning micturition, itching, skin rash, spotting  urination, stomach pain"
Fungal infection,"dischromic  patches, itching, nodal skin eruptions, skin rash"
GERD,"acidity, chest pain, cough, stomach pain, ulcers on tongue, vomiting"
Gastroenteritis,"abdominal cramps and pain, dehydration, diarrhea, diarrhoea, fever, low-grade fever, nausea, nausea., occasional muscle aches or headache, stomach cramps, sunken eyes, vomiting, watery diarrhea"
Heart attack,"breathlessness, chest pain, sweating, vomiting"
Hepatitis B,"abdominal pain, dark urine, fatigue, itching, jaundice, lethargy, loss of appetite, loss of appetite., malaise, receiving blood transfusion, receiving unsterile injections, yellow urine, yellowing of eyes, yellowish skin"
Hepatitis C,"family history, fatigue, loss of appetite, nausea, yellowing of eyes, yellowish skin"
Hepatitis D,"abdominal pain, dark urine, fatigue, joint pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin"
Hepatitis E,"abdominal pain, acute liver failure, coma, dark urine, fatigue, high fever, joint pain, loss of appetite, nausea, stomach bleeding, vomiting, yellowing of eyes, yellowish skin"
Hypertension ,"chest pain, dizziness, headache, lack of concentration, loss of balance"
Hyperthyroidism,"abnormal menstruation, diarrhoea, excessive hunger, fast heart rate, fatigue, increased appetite, irritability, irritability., mood swings, muscle weakness, rapid heartbeat, restlessness, sweating, weight loss"
