Disease,Symptom,Relation
(vertigo) paroymsal  positional vertigo,headache,has_symptom
(vertigo) paroymsal  positional vertigo,loss of balance,has_symptom
(vertigo) paroymsal  positional vertigo,nausea,has_symptom
(vertigo) paroymsal  positional vertigo,spinning movements,has_symptom
(vertigo) paroymsal  positional vertigo,unsteadiness,has_symptom
(vertigo) paroymsal  positional vertigo,vomiting,has_symptom
aids,extra marital contacts,has_symptom
aids,high fever,has_symptom
aids,muscle wasting,has_symptom
aids,patches in throat,has_symptom
acne,blackheads,has_symptom
acne,pus filled pimples,has_symptom
acne,scurring,has_symptom
acne,skin rash,has_symptom
alcoholic hepatitis,abdominal pain,has_symptom
alcoholic hepatitis,distention of abdomen,has_symptom
alcoholic hepatitis,fluid overload,has_symptom
alcoholic hepatitis,history of alcohol consumption,has_symptom
alcoholic hepatitis,swelling of stomach,has_symptom
alcoholic hepatitis,yellowish skin,has_symptom
allergy,chills,has_symptom
allergy,continuous sneezing,has_symptom
allergy,shivering,has_symptom
allergy,watering from eyes,has_symptom
arthritis,decreased range of motion,has_symptom
arthritis,joint pain,has_symptom
arthritis,movement stiffness,has_symptom
arthritis,muscle weakness,has_symptom
arthritis,painful walking,has_symptom
arthritis,redness,has_symptom
arthritis,stiff neck,has_symptom
arthritis,stiffness,has_symptom
arthritis,swelling,has_symptom
arthritis,swelling joints,has_symptom
bronchial asthma,breathlessness,has_symptom
bronchial asthma,cough,has_symptom
bronchial asthma,family history,has_symptom
bronchial asthma,fatigue,has_symptom
bronchial asthma,mucoid sputum,has_symptom
cervical spondylosis,back pain,has_symptom
cervical spondylosis,dizziness,has_symptom
cervical spondylosis,neck pain,has_symptom
cervical spondylosis,weakness in limbs,has_symptom
chicken pox,itching,has_symptom
chicken pox,lethargy,has_symptom
chicken pox,loss of appetite,has_symptom
chicken pox,malaise,has_symptom
chicken pox,mild fever,has_symptom
chicken pox,red spots over body,has_symptom
chicken pox,swelled lymph nodes,has_symptom
chronic cholestasis,yellowing of eyes,has_symptom
common cold,chest pain,has_symptom
common cold,congestion,has_symptom
common cold,generally feeling unwell,has_symptom
common cold,loss of smell,has_symptom
common cold,low-grade fever,has_symptom
common cold,muscle pain,has_symptom
common cold,phlegm,has_symptom
common cold,redness of eyes,has_symptom
common cold,runny nose,has_symptom
common cold,sinus pressure,has_symptom
common cold,slight body aches,has_symptom
common cold,sneezing,has_symptom
common cold,sore throat,has_symptom
common cold,throat irritation,has_symptom
dengue,pain behind the eyes,has_symptom
diabetes,blurred and distorted vision,has_symptom
diabetes,excessive hunger,has_symptom
diabetes,increased appetite,has_symptom
diabetes,irregular sugar level,has_symptom
diabetes,polyuria,has_symptom
diabetes,restlessness,has_symptom
diabetes,weight loss,has_symptom
obesity,body mass index (bmi) of 30 or higher,has_symptom
obesity,excess body fat accumulation,has_symptom
obesity,joint problems,has_symptom
obesity,larger waist circumference,has_symptom
obesity,shortness of breath,has_symptom
obesity,sleep apnea,has_symptom
obesity,sweating,has_symptom
dimorphic hemmorhoids(piles),bloody stool,has_symptom
dimorphic hemmorhoids(piles),constipation,has_symptom
dimorphic hemmorhoids(piles),irritation in anus,has_symptom
dimorphic hemmorhoids(piles),pain during bowel movements,has_symptom
dimorphic hemmorhoids(piles),pain in anal region,has_symptom
drug reaction,burning micturition,has_symptom
drug reaction,spotting  urination,has_symptom
drug reaction,stomach pain,has_symptom
fungal infection,dischromic  patches,has_symptom
fungal infection,nodal skin eruptions,has_symptom
gerd,acidity,has_symptom
gerd,ulcers on tongue,has_symptom
gastroenteritis,abdominal cramps and pain,has_symptom
gastroenteritis,dehydration,has_symptom
gastroenteritis,diarrhea,has_symptom
gastroenteritis,diarrhoea,has_symptom
gastroenteritis,fever,has_symptom
gastroenteritis,nausea.,has_symptom
gastroenteritis,occasional muscle aches or headache,has_symptom
gastroenteritis,stomach cramps,has_symptom
gastroenteritis,sunken eyes,has_symptom
gastroenteritis,watery diarrhea,has_symptom
heart attack,sweating,has_symptom
hepatitis b,dark urine,has_symptom
hepatitis b,loss of appetite.,has_symptom
hepatitis b,receiving blood transfusion,has_symptom
hepatitis b,receiving unsterile injections,has_symptom
hepatitis b,yellow urine,has_symptom
hepatitis e,acute liver failure,has_symptom
hepatitis e,coma,has_symptom
hepatitis e,stomach bleeding,has_symptom
hypertension,lack of concentration,has_symptom
hyperthyroidism,abnormal menstruation,has_symptom
hyperthyroidism,fast heart rate,has_symptom
hyperthyroidism,irritability,has_symptom
hyperthyroidism,irritability.,has_symptom
hyperthyroidism,mood swings,has_symptom
hyperthyroidism,rapid heartbeat,has_symptom
hypoglycemia,anxiety,has_symptom
hypoglycemia,drying and tingling lips,has_symptom
hypoglycemia,palpitations,has_symptom
hypoglycemia,slurred speech,has_symptom
hypothyroidism,brittle nails,has_symptom
hypothyroidism,cold hands and feets,has_symptom
hypothyroidism,cold intolerance,has_symptom
hypothyroidism,dry skin,has_symptom
hypothyroidism,enlarged thyroid,has_symptom
hypothyroidism,hair loss.,has_symptom
hypothyroidism,puffy face and eyes,has_symptom
hypothyroidism,swollen extremeties,has_symptom
hypothyroidism,weight gain,has_symptom
depression,anxious,has_symptom
depression,appetite and/or weight changes,has_symptom
depression,decreased energy or fatigue,has_symptom
depression,difficulty concentrating,has_symptom
depression,feelings of hopelessness,has_symptom
depression,insomnia or oversleeping,has_symptom
depression,loss of interest in hobbies and activities,has_symptom
depression,"or ""empty"" mood",has_symptom
depression,persistent sad,has_symptom
depression,thoughts of death or suicide,has_symptom
impetigo,blister,has_symptom
impetigo,red sore around nose,has_symptom
impetigo,yellow crust ooze,has_symptom
malaria,vomiting.,has_symptom
migraine,indigestion,has_symptom
migraine,intense headache,has_symptom
migraine,sensitivity to light and sound,has_symptom
migraine,visual disturbances,has_symptom
osteoarthristis,hip joint pain,has_symptom
osteoarthristis,knee pain,has_symptom
paralysis (brain hemorrhage),altered sensorium,has_symptom
paralysis (brain hemorrhage),weakness of one body side,has_symptom
peptic ulcer diseae,internal itching,has_symptom
peptic ulcer diseae,passage of gases,has_symptom
pneumonia,chest pain when breathing or coughing,has_symptom
pneumonia,chest pain.,has_symptom
pneumonia,confusion or changes in mental awareness,has_symptom
pneumonia,cough with phlegm,has_symptom
pneumonia,lower than normal body temperature,has_symptom
pneumonia,rusty sputum,has_symptom
pneumonia,shortness of breath,has_symptom
